#separator:tab
#html:true
#columns:Sentence	Label	Sense	Pattern	Trajector	Landmark	FrameOfRef	ImageSchema	MainUse	QuickCue	Contrast	WhenNotToUse	Tags
The museum is <b>beside</b> the historic library building.	beside (BUILDING ADJACENCY)	spatial	be + beside + adjacent structure	the museum	the historic library building	absolute	point	Located directly alongside another building on the same block	architectural adjacency	next to the library (closer sharing)	in very intimate architectural partnership	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The park is <b>near</b> my house, about a 10-minute walk.	near (WALKABLE DISTANCE)	spatial	be + near + home location	the park	my house	absolute	point	In the immediate residential vicinity; accessible by short travel	pedestrian-accessible zone	by my house (implies direct adjacency)	when location must be immediately alongside	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The farm is <b>by</b> the country road leading to town.	by (ROAD-ADJACENT)	spatial	be + by + thoroughfare	the farm	the country road	absolute	point	Situated directly alongside a road or path	linear feature adjacency	near the road (broader search radius)	with non-linear or ambient reference features	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
People gathered <b>around</b> the bonfire on a cold evening.	around (THERMAL ENCIRCLEMENT)	spatial	gather + around + central warmth source	people	the bonfire	relative	cluster	Assembled in a circle or scattered positions surrounding a focal point	social-thermal clustering	✗ around the bonfire (if walking/moving)	when motion around the object is emphasized	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:cluster generalisable:yes
The documents are safely stored <b>inside</b> the filing cabinet.	inside (PROTECTED INTERIOR)	spatial	store + inside + protective container	the documents	the filing cabinet	intrinsic	container	Placed within an enclosed protective space for safekeeping	secured containment	outside the cabinet (exposed, unprotected)	with exposed or open storage	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The tent is pitched <b>outside</b> the town perimeter.	outside (EXTENDED EXTERIOR)	spatial	pitch + outside + settlement boundary	the tent	the town perimeter	intrinsic	container	Located in the open area beyond the town's defined limits	exterior wilderness position	inside the town (within boundaries)	with locations within city limits	module:02 sense:spatial type:recognition frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The ball rolled <b>out of</b> the box.	out of (EXIT)	movement	roll + out of + container	the ball	the box	intrinsic	path	Moving across a boundary to leave the interior	egress from enclosure	from the box (origin, not crossing out)	when merely indicating source	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"ball rolling out of box"
She took the lid <b>off</b> the jar.	off (DETACHMENT)	movement	take + off + mounted object	the lid	the jar	intrinsic	path	Removing something from a surface; separation via downward motion	downward separation	from the jar (less emphasis on downward motion)	when indicating source without removal emphasis	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"hand removing lid from jar"
The package came <b>from</b> Tokyo.	from (ORIGIN)	movement	come + from + starting point	the package	Tokyo	absolute	path	Indicating the starting point or source of motion	starting reference point	to Tokyo (destination, not origin)	when Tokyo is the endpoint	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"shipping box parcel package"
She walked <b>through</b> the park.	through (TRAVERSAL)	movement	walk + through + space	she	the park	intrinsic	path	Passing completely across or within a space; interior passage	penetration/interior crossing	across the park (exterior crossing)	when remaining outside the space	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"woman walking park path"
The bridge spans <b>across</b> the river.	across (LATERAL CROSSING)	movement	span + across + obstacle	the bridge	the river	absolute	path	Moving from one side to the opposite side of an obstacle	lateral boundary crossing	through the river (interior passage)	when moving within rather than across	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"bridge spanning river aerial"
We walked <b>along</b> the beach.	along (PARALLEL MOTION)	movement	walk + along + linear feature	we	the beach	intrinsic	path	Moving in a direction parallel to a linear reference	sustained linear trajectory	toward the beach (convergent direction)	when moving toward rather than alongside	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"couple walking beach shore"
They moved <b>towards</b> the exit.	towards (GOAL ORIENTATION)	movement	move + towards + target	they	the exit	relative	path	Directed motion in the direction of a goal; approaching	convergent approach trajectory	away from the exit (divergent motion)	when moving in opposite direction	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"people walking towards exit door"
He ran <b>away from</b> the dog.	away from (DIVERGENCE)	movement	run + away from + threat	he	the dog	relative	path	Moving in a direction opposite to a reference point; fleeing	divergent/repulsive trajectory	towards the dog (convergent)	when approaching rather than fleeing	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"person running away from dog"
The climber went <b>up</b> the mountain.	up (UPWARD ASCENT)	movement	go + up + vertical obstacle	the climber	the mountain	intrinsic	path	Moving in an upward direction against gravity	ascending trajectory	down the mountain (descending)	when moving downward	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"mountain climber ascending peak"
The water flows <b>down</b> the river.	down (DOWNWARD DESCENT)	movement	flow + down + gradient	the water	the river	absolute	path	Moving in a downward direction; along a gradient	descending trajectory	up the river (ascending against flow)	when moving against the natural gradient	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"river flowing downstream"
The car drove <b>past</b> the house without stopping.	past (LATERAL BYPASS)	movement	drive + past + landmark	the car	the house	relative	path	Moving laterally alongside a reference point without stopping	tangential trajectory near landmark	toward the house (convergent)	when the trajectory is convergent	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"car driving past house street"
They drove <b>around</b> the parking lot looking for a space.	around (CIRCULAR MOTION)	movement	drive + around + central landmark	they	the parking lot	relative	path	Moving in a circular or encircling path around a reference	orbital/encircling trajectory	✗ around the parking lot (if stationary)	when stationary positioning is intended	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:partial
The package was sent <b>via</b> airmail.	via (ROUTE MEDIATION)	movement	send + via + routing method	the package	airmail	absolute	path	Traveling through an intermediary route or method	mediated path selection	by airmail (less emphasis on routing method)	when route method is incidental	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
She ran <b>to</b> school every morning.	to (HABITUAL DESTINATION)	movement	run + to + daily endpoint	she	school	absolute	path	Directional motion toward a regular endpoint	repetitive goal-directed movement	into school (interior entry focus)	when interior entry is emphasized	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"schoolgirl running to school"
The dog jumped <b>into</b> the pool and swam.	into (SUBMERSIVE ENTRY)	movement	jump + into + liquid medium	the dog	the pool	intrinsic	path	Crossing boundary to enter and be immersed	transgression into enclosure	onto the pool (surface contact only)	when remaining on surface	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"dog jumping into swimming pool"
The acrobat leaped <b>onto</b> the stage from the wings.	onto (PLATFORM ASCENT)	movement	leap + onto + raised performance area	the acrobat	the stage	intrinsic	path	Crossing boundary upward to mount a raised surface	ascending stage entry	into the stage (interior theatrical space)	when entering enclosed theatrical space	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"acrobat performer leaping stage"
The marble tumbled <b>out of</b> the bag.	out of (CONTAINER EGRESS)	movement	tumble + out of + container	the marble	the bag	intrinsic	path	Exiting the interior of a bounded space; leaving containment	boundary-crossing egress	from the bag (origin without direction)	when merely indicating source	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The captain removed the anchor <b>off</b> the seabed.	off (SURFACE REMOVAL)	movement	remove + off + anchored surface	the anchor	the seabed	intrinsic	path	Physically lifting or separating something from a surface	separation via upward motion	from the seabed (origin indication)	when emphasizing origin rather than removal	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
Letters arrived <b>from</b> all over the world.	from (DISTRIBUTED ORIGIN)	movement	arrive + from + multiple sources	letters	all over the world	absolute	path	Originating at or sent from multiple locations	distributed starting points	to different places (plural destinations)	when indicating divergent destinations	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The hikers walked <b>through</b> the valley.	through (INTERIOR TRANSIT)	movement	walk + through + enclosed valley	the hikers	the valley	intrinsic	path	Interior passage; complete crossing from entrance to exit	penetrating interior passage	across the valley (exterior crossing)	when crossing without entering interior	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes picture-cue:yes picture-query:"hikers walking through valley"
The road runs <b>across</b> the desert for hundreds of miles.	across (TRANSVERSE TRAJECTORY)	movement	run + across + expansive terrain	the road	the desert	absolute	path	Extending laterally across a wide space	broad lateral crossing	through the desert (interior passage)	when traversing interior rather than spanning surface	module:04 sense:movement type:recognition frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes
We strolled <b>along</b> the riverbank at sunset.	along (LENGTHWISE PROGRESS)	movement	stroll + along + elongated feature	we	the riverbank	intrinsic	path	Moving lengthwise in the direction of a linear feature	linear co-directional motion	towards the riverbank (convergent approach)	when moving toward rather than alongside	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The clouds drift <b>towards</b> the mountains.	towards (CONVERGENT APPROACH)	movement	drift + towards + distant landmark	the clouds	the mountains	relative	path	Moving in a direction approaching a goal or destination	attractor-directed trajectory	away from the mountains (repellent trajectory)	when moving away from landmark	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The ball rolled <b>away from</b> the goal.	away from (DIVERGENT EVASION)	movement	roll + away from + objective	the ball	the goal	relative	path	Moving in a direction opposite to a target	repulsive trajectory	towards the goal (convergent approach)	when moving toward target	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The rocket launched <b>up</b> toward the sky.	up (VERTICAL LAUNCH)	movement	launch + up + sky	the rocket	the sky	absolute	path	Moving vertically upward against gravity	ascending trajectory	down toward the ground (descending)	when moving downward	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
Rain falls <b>down</b> from the clouds.	down (GRAVITATIONAL DESCENT)	movement	fall + down + cloud layer	rain	the clouds	absolute	path	Moving vertically downward due to gravity	falling trajectory	up toward the sky (ascending)	when moving upward	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
A deer bounded <b>past</b> the hunters in the forest.	past (SWIFT BYPASS)	movement	bound + past + obstacle	a deer	the hunters	relative	path	Moving quickly alongside a location without engaging	tangential evasive trajectory	toward the hunters (convergent threat)	when moving toward obstacle	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The runners raced <b>around</b> the track for the final lap.	around (ORBITAL CIRCUIT)	movement	race + around + track circuit	the runners	the track	relative	path	Completing a circular path around a reference point	orbital completion trajectory	✗ around the track (if no motion)	when stationary positioning	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The goods were shipped <b>via</b> the Suez Canal.	via (TRANSIT ROUTE)	movement	ship + via + geographic passage	the goods	the Suez Canal	absolute	path	Traveling through a specific route or intermediary	channeled path selection	by the Suez Canal (less routing emphasis)	when route is incidental	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
I'm going <b>to</b> the airport tomorrow morning.	to (FUTURE DESTINATION)	movement	go + to + travel destination	I	the airport	absolute	path	Intentional motion toward a scheduled endpoint	future-oriented goal direction	into the airport (interior entry)	when terminal access is emphasized	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The snake slithered <b>into</b> its burrow for winter.	into (REFUGE ENTRY)	movement	slither + into + shelter	the snake	its burrow	intrinsic	path	Crossing boundary to seek refuge or shelter	protective enclosure entry	to the burrow (general approach)	when approach without entering is intended	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The gymnast flipped <b>onto</b> the mat in a perfect landing.	onto (CONTROLLED DESCENT)	movement	flip + onto + surface	the gymnast	the mat	intrinsic	path	Crossing boundary with controlled landing on surface	precise surface contact	into the mat (surface puncture)	when embedding in surface	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
Smoke poured <b>out of</b> the chimney all evening.	out of (EMISSION)	movement	pour + out of + source aperture	smoke	the chimney	intrinsic	path	Flowing outward from an aperture or source	directional emission	from the chimney (source indication)	when source is emphasized over direction	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The mechanic stripped the bolts <b>off</b> the engine.	off (SYSTEMATIC REMOVAL)	movement	strip + off + mounted components	the bolts	the engine	intrinsic	path	Removing items systematically from a surface	downward separation sequence	from the engine (origin without removal action)	when origin is noted without action emphasis	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The postcard came <b>from</b> Paris during summer vacation.	from (TRAVEL ORIGIN)	movement	come + from + travel location	the postcard	Paris	absolute	path	Sent or originating from a distant travel location	distant origin indication	to Paris (destination of sender's trip)	when indicating destination rather than origin	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The miners tunneled <b>through</b> the mountain to extract ore.	through (PENETRATIVE EXCAVATION)	movement	tunnel + through + solid mass	the miners	the mountain	intrinsic	path	Cutting a passage through a solid obstacle	interior penetration	across the mountain (surface traversal)	when crossing surface rather than penetrating	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
The arrow flew <b>across</b> the field toward the target.	across (BROAD PROJECTION)	movement	fly + across + open field	the arrow	the field	absolute	path	Traveling laterally across an expansive space	broad lateral trajectory	through the field (interior traversal)	when moving within enclosed area	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The tour guide led the group <b>along</b> the historic walking path.	along (GUIDED LINEAR JOURNEY)	movement	lead + along + established route	the tour guide	the historic walking path	intrinsic	path	Following a guided path in the direction of a linear feature	structured linear progression	towards the path (convergent approach)	when approach rather than progression	module:04 sense:movement type:recognition frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes
The bird flew <b>towards</b> its nest in the tree.	towards (HOMING APPROACH)	movement	fly + towards + home location	the bird	its nest	relative	path	Moving directionally toward a home or familiar destination	homing trajectory	away from its nest (evasion)	when fleeing rather than returning	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The refugees fled <b>away from</b> the conflict zone.	away from (EMERGENCY EVASION)	movement	flee + away from + danger zone	the refugees	the conflict zone	relative	path	Moving urgently in a direction opposite to danger	urgent divergent trajectory	towards the conflict zone (dangerous approach)	when approaching danger	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
The elevator rises <b>up</b> through the building shaft.	up (CONTINUOUS ASCENT)	movement	rise + up + vertical shaft	the elevator	the building shaft	absolute	path	Moving continuously upward through a vertical structure	prolonged ascending trajectory	down through the shaft (descending)	when moving downward	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The avalanche tumbles <b>down</b> the mountainside in seconds.	down (CATASTROPHIC DESCENT)	movement	tumble + down + steep gradient	the avalanche	the mountainside	absolute	path	Moving rapidly downward along a steep slope	rapid descent trajectory	up the mountainside (ascending slope)	when moving upward on slope	module:04 sense:movement type:recognition frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes
The motorcyclist sped <b>past</b> the checkpoint without being seen.	past (EVASIVE SPEED)	movement	speed + past + control point	the motorcyclist	the checkpoint	relative	path	Moving at high speed tangentially past a location	high-speed evasive trajectory	toward the checkpoint (convergent)	when approaching checkpoint	module:04 sense:movement type:recognition frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The earth revolves <b>around</b> the sun in an elliptical orbit.	around (CELESTIAL ORBIT)	movement	revolve + around + stellar center	the earth	the sun	relative	path	Completing a full orbital revolution around a celestial body	complete orbital cycle	✗ around the sun (if stationary)	when stationary relative to sun	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
The delegation traveled <b>via</b> London before reaching Berlin.	via (INTERMEDIATE STOPOVER)	movement	travel + via + transit hub	the delegation	London	absolute	path	Passing through an intermediate location en route	multi-step journey routing	by London (less routing emphasis)	when London is incidental	module:04 sense:movement type:recognition frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
He depends <b>on</b> his parents for financial support.	depend on (verb+prep)	dependent	V + on + N-person/thing					Relying or counting on someone/something	'depend on' is a fixed collocation	depend in / depend at (incorrect)	when the person is the helper (use 'depend on')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Listen <b>to</b> the instructions carefully before starting the test.	listen to (verb+prep)	dependent	V + to + N-sound/speech					Paying attention to audio or speech	'listen to' is a fixed collocation	listen on / listen at (incorrect)	when you're overhearing without intention (use 'hear')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She looked <b>at</b> the painting for over an hour.	look at (verb+prep)	dependent	V + at + N-visual					Directing visual attention towards something	'look at' is a fixed collocation	look for (different meaning) / look on (incorrect)	when you're searching (use 'look for')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
I'm looking <b>for</b> my keys; have you seen them?	look for (verb+prep)	dependent	V + for + N-object					Searching or attempting to find something	'look for' is a fixed collocation	look at (different meaning) / look into (more investigation)	when you're simply observing (use 'look at')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She looks <b>after</b> her elderly grandmother every weekend.	look after (verb+prep)	dependent	V + after + N-person					Taking care of or being responsible for	'look after' is a fixed collocation	look at / look for (different meanings)	when you're observing without responsibility (use 'look at')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
The police are looking <b>into</b> the mysterious disappearance.	look into (verb+prep)	dependent	V + into + N-matter					Investigating or examining something closely	'look into' is a fixed collocation	look at (simple observation) / look after (care)	when you're casually observing (use 'look at')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
I agree <b>with</b> your opinion on this matter.	agree with (verb+prep)	dependent	V + with + N-person					Sharing the same opinion as a person	'agree with' takes a person	agree to (proposal) / agree on (decision)	when discussing a proposal (use 'agree to') or a shared decision (use 'agree on')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They agreed <b>to</b> the terms of the contract.	agree to (verb+prep)	dependent	V + to + N-proposal					Accepting or consenting to a proposal or plan	'agree to' takes a proposal/plan	agree with (person) / agree on (mutual decision)	when agreeing with a person's opinion (use 'agree with') or a shared decision (use 'agree on')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The committee agreed <b>on</b> a final decision yesterday.	agree on (verb+prep)	dependent	V + on + N-decision					Reaching mutual consensus on something	'agree on' indicates shared consensus	agree with (person) / agree to (proposal)	when discussing a person's opinion (use 'agree with') or a specific proposal (use 'agree to')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The mixture consists <b>of</b> flour, eggs, and milk.	consist of (verb+prep)	dependent	V + of + N-component					Being composed or made up of parts	'consist of' describes composition	comprise (similar) / include (less formal)	when describing what something contains but is not made of (use 'include')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
These paintings belong <b>to</b> the museum's private collection.	belong to (verb+prep)	dependent	V + to + N-owner					Being the property or possession of someone	'belong to' indicates ownership	belong in (location) / belong with (grouping)	when indicating a location (use 'belong in') or social grouping (use 'belong with')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
He apologised <b>for</b> arriving late to the meeting.	apologise for (verb+prep)	dependent	V + for + N-action					Expressing regret or saying sorry for an action	'apologise for' takes the regrettable action	apologise to (person receiving apology)	when specifying the person being apologised to (use 'apologise to' + person + 'for')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They congratulated her <b>on</b> winning the scholarship.	congratulate on (verb+prep)	dependent	V + on + N-achievement					Expressing praise or good wishes for an achievement	'congratulate on' celebrates accomplishments	praise for / commend for (similar)	when expressing sympathy rather than joy (use 'commiserate with')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
His parents prevented him <b>from</b> leaving the house alone.	prevent from (verb+prep)	dependent	V + from + N-action					Stopping or blocking someone from doing something	'prevent from' blocks an action	stop from (informal) / block from (less common)	when the action is allowed but discouraged (use 'discourage from')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The police accused him <b>of</b> stealing the diamond.	accuse of (verb+prep)	dependent	V + of + N-wrongdoing					Claiming someone has done something wrong	'accuse of' specifies the wrongdoing	charge with (legal) / blame for (more casual)	when you're uncertain and asking questions (use 'suspect')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The accident resulted <b>in</b> three injuries and significant damage.	result in (verb+prep)	dependent	V + in + N-consequence					Causing or producing an outcome or consequence	'result in' shows causation forward	result from (passive causation) / cause (more active)	when describing what caused the result (use 'result from')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The problem resulted <b>from</b> poor planning and communication.	result from (verb+prep)	dependent	V + from + N-cause					Coming about or arising due to a cause	'result from' shows origin of outcome	result in (forward causation) / stem from (similar)	when describing the consequence of something (use 'result in')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Their opinions differ <b>from</b> the company's official position.	differ from (verb+prep)	dependent	V + from + N-comparison					Being different or distinct compared to something	'differ from' marks difference	differ in (aspects) / differ by (amounts)	when specifying what aspect differs (use 'differ in')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The report refers <b>to</b> earlier studies conducted in 2015.	refer to (verb+prep)	dependent	V + to + N-thing					Mentioning, citing, or directing attention to something	'refer to' indicates citation or mention	reference (noun) / allude to (indirect)	when indirectly hinting without explicit mention (use 'allude to')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
She coped <b>with</b> the stress by exercising regularly.	cope with (verb+prep)	dependent	V + with + N-challenge					Managing or dealing with a difficult situation	'cope with' describes handling challenges	deal with (synonymous) / manage (less emotional)	when you're completely unable to manage (use 'struggle with')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The children talk <b>to</b> their grandparents every Sunday evening.	talk to (verb+prep)	dependent	V + to + N-person					Communicating or having a conversation with someone	'talk to' emphasizes one-way or formal communication	talk with (mutual) / speak to (more formal)	when emphasizing mutual, equal dialogue (use 'talk with')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
We talked <b>with</b> the manager about improving workplace safety.	talk with (verb+prep)	dependent	V + with + N-person					Engaging in mutual dialogue or discussion	'talk with' emphasizes two-way communication	talk to (one-way) / speak with (more formal)	when describing one-directional instruction (use 'talk to')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The flight arrives <b>at</b> Heathrow Airport at noon.	arrive at (verb+prep)	dependent	V + at + N-place-small					Coming to a smaller destination or fixed point	'arrive at' for specific locations	arrive in (large city/country) / arrive at (small place)	when referring to a city or country (use 'arrive in')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
They will arrive <b>in</b> Tokyo next Tuesday evening.	arrive in (verb+prep)	dependent	V + in + N-place-large					Coming to a city or country	'arrive in' for larger destinations	arrive at (small place) / arrive on (incorrect)	when referring to a small building or specific point (use 'arrive at')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
I think <b>of</b> him whenever I hear that song.	think of (verb+prep)	dependent	V + of + N-image					Having a mental image or memory of someone/something	'think of' recalls a specific image	think about (consideration) / remember (past focus)	when engaged in deliberate reasoning (use 'think about')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
She's thinking <b>about</b> changing careers next year.	think about (verb+prep)	dependent	V + about + N-idea					Considering, reflecting, or deliberating on something	'think about' indicates active reasoning	think of (recall image) / consider (formal)	when recalling a specific memory or association (use 'think of')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
She dreams <b>of</b> becoming a professional dancer someday.	dream of (verb+prep)	dependent	V + of + N-aspiration					Aspiring to or having a strong desire for something	'dream of' expresses desire/hope	dream about (nocturnal) / wish for (less poetic)	when describing actual sleeping dreams (use 'dream about')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Last night I dreamed <b>about</b> swimming in the ocean.	dream about (verb+prep)	dependent	V + about + N-image					Having a nocturnal dream or imagining vividly	'dream about' describes actual dreams	dream of (aspiration) / imagine (conscious)	when expressing a life aspiration or goal (use 'dream of')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
I haven't heard <b>from</b> my cousin since last summer.	hear from (verb+prep)	dependent	V + from + N-person					Receiving communication or contact from someone	'hear from' receives a message	hear about (news) / hear (direct contact)	when learning about someone indirectly (use 'hear about')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Did you hear <b>about</b> the scandal at the university?	hear about (verb+prep)	dependent	V + about + N-news					Learning news or information indirectly	'hear about' receives news/gossip	hear from (direct contact) / hear (perception)	when receiving direct communication (use 'hear from')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
She warned him <b>against</b> making that investment decision.	warn against (verb+prep)	dependent	V + against + N-action					Cautioning someone to avoid something dangerous	'warn against' expresses caution	warn about (more information) / warn of (less common)	when simply informing about a danger without advising avoidance (use 'warn about')	module:05 sense:dependent type:recognition frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
He insisted <b>on</b> paying for dinner himself tonight.	insist on (verb+prep)	dependent	V + on + N-action					Firmly demanding or persisting in wanting something	'insist on' shows firm demand	insist that (clause) / demand (stronger)	when stating a condition rather than demanding action (use 'insist that')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
They are focusing <b>on</b> reducing costs and improving efficiency.	focus on (verb+prep)	dependent	V + on + N-goal					Directing attention or concentration to something	'focus on' centers attention	concentrate on (synonymous) / emphasize (broader)	when highlighting importance without active concentration (use 'emphasize')	module:05 sense:dependent type:recognition frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
