#separator:tab
#html:true
#columns:Text	Hint	Tags
He is {{c1::interested in}} modern art and design.	interested in (French-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:french
I work {{c1::on}} Monday mornings.	day-name marker (German speakers say *am Montag*)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no l1:german
I exercise {{c1::in}} the morning before breakfast.	part-of-day container (German speakers say *am Morgen*)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
I {{c1::think of}} her fondly whenever we talk.	think of (German-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
She is {{c1::afraid of}} large dogs.	afraid of (German-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:german
She {{c1::depends on}} her family for support.	depend on (Russian-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
The book {{c1::consists of}} twelve chapters.	consist of (Russian-trap)	module:10 sense:interference type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no l1:russian
The keys are {{c1::in}} the box.	CONTAINER schema; trajector enclosed by landmark	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
He is {{c1::in}} trouble.	CONTAINER metaphor; state-as-enclosing-substance	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
She was born {{c1::in}} 2024.	CONTAINER schema; year-as-bounded-period	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The book is {{c1::on}} the table.	SUPPORT schema; trajector resting on landmark surface	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The movie is {{c1::on}} tonight.	SUPPORT schema; day/date as scheduled-surface	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
She worked {{c1::on}} the project.	SUPPORT schema; activity-as-platform-of-engagement	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
Meet me {{c1::at}} the station.	POINT schema; trajector at zero-dimensional location	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The meeting is {{c1::at}} 3 p.m.	POINT schema; clock-time as zero-duration moment	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
She is skilled {{c1::at}} languages.	POINT schema; skill-as-point-of-engagement	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The journey is {{c1::by}} train.	instrumental marker (means or method of action)	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The house was built {{c1::by}} the architect.	agent marker in passive voice	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The rule was created {{c1::by}} 2024.	temporal endpoint; not-later-than marker	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The river flows {{c1::through}} the valley.	PATH schema; trajector traverses landmark interior	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
She learned {{c1::through}} experience.	PATH metaphor; means-as-traversed-process	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The cat is {{c1::under}} the bed.	vertical positioning; trajector beneath landmark	module:11 sense:polysemy type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
I'm going {{c1::ø::no preposition}} home today.	home (bare destination)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
I'm going {{c1::to}} bed now.	bed (with 'to')	module:12 sense:zero type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
She arrived {{c1::ø::no preposition}} last week.	last week (bare time adverbial)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I'll see you {{c1::ø::no preposition}} next year.	next year (bare time adverbial)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I saw her {{c1::ø::no preposition}} this morning.	this morning (bare time adverbial)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
We {{c1::ø::no preposition}} discussed the proposal yesterday.	discuss (bare transitive)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
Please {{c1::ø::no preposition}} enter the room quietly.	enter (bare transitive)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
They {{c1::ø::no preposition}} approached the house carefully.	approach (bare transitive)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
He {{c1::ø::no preposition}} resembles his father greatly.	resemble (bare transitive)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I {{c1::ø::no preposition}} play chess every evening.	play + game (bare)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
See you {{c1::ø::no preposition}} Monday! (informal AmE)	Monday (bare day; informal)	module:12 sense:zero type:cloze frequency:high register:informal cefr:a1 image-schema:none generalisable:no
We {{c1::ø::no preposition}} went to church on Sunday.	church (bare; institutional)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
She's {{c1::ø::no preposition}} in hospital. (BrE)	hospital (bare; BrE)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
The prisoner is {{c1::ø::no preposition}} in prison.	prison (bare; institutional)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
I {{c1::play}} the piano daily.	instrument marker; the-article required (vs game = bare)	module:12 sense:zero type:cloze frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
The concert tickets are {{c1::in}} the desk drawer waiting for the big performance next weekend.	Hidden document: closed compartment needs 'in'	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
She hung the family portrait {{c1::on}} the dining room wall as the room's centerpiece.	Vertical surface mounting: 'on' not 'in'	module:01 type:cloze sense:spatial frequency:mid register:neutral cefr:a1 image-schema:support generalisable:yes
The meeting starts {{c1::at}} three o'clock sharp in the boardroom this afternoon.	Time point location: 'at' marks the moment	module:01 type:cloze sense:spatial frequency:high register:formal cefr:a1 image-schema:point generalisable:yes
My keys are {{c1::in}} my jacket pocket because I always lose them otherwise.	Enclosed pocket space: 'in' for enclosure	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The artwork display is {{c1::on}} the gallery's main wall attracting visitors daily.	Gallery wall surface: 'on' for mounting	module:01 type:cloze sense:spatial frequency:mid register:formal cefr:a2 image-schema:support generalisable:yes
We're all meeting {{c1::at}} the entrance of the shopping center before we split up.	Meeting point location: 'at' marks specific place	module:01 type:cloze sense:spatial frequency:high register:informal cefr:a1 image-schema:point generalisable:yes
The fresh vegetables are {{c1::in}} the refrigerator's bottom drawer for longer storage.	Enclosed container space: 'in' for storage	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
That beautiful sunset photo would look perfect {{c1::on}} the mantelpiece above the fireplace.	Surface placement: 'on' not 'in'	module:01 type:cloze sense:spatial frequency:mid register:neutral cefr:a1 image-schema:support generalisable:yes
The festival celebration happens {{c1::at}} the waterfront park every summer season.	Venue point location: 'at' for events	module:01 type:cloze sense:spatial frequency:mid register:neutral cefr:a1 image-schema:point generalisable:yes
The precious documents are safely {{c1::in}} the safety deposit box.	Secure enclosure (CONTAINER schema)	module:01 type:cloze sense:spatial frequency:mid register:formal cefr:a2 image-schema:container generalisable:yes
The safety deposit box is {{c1::at}} the bank.	Institutional location (POINT schema)	module:01 type:cloze sense:spatial frequency:mid register:formal cefr:a2 image-schema:point generalisable:yes
I haven't heard from her {{c1::for}} a month.	duration of absence; how long the silence has lasted	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The store is open {{c1::from}} 8am to 10pm.	starting boundary of opening hours	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The store is open from 8am {{c1::to}} 10pm.	closing boundary of opening hours	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
We worked on the project {{c1::from}} June to August.	starting month of work span	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
We worked on the project from June {{c1::to}} August.	ending month of work span	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
{{c1::After}} the movie finished, I went home.	temporal sequence: which event came earlier	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
I'll call you {{c1::before}} tomorrow.	deadline marker: not later than tomorrow	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
{{c1::Throughout}} the conference, there were many discussions.	complete-span marker; from start to end of an event	module:03 type:cloze sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
She was reading {{c1::while}} I was cooking.	simultaneity marker introducing a clause	module:03 type:cloze sense:temporal frequency:mid register:neutral cefr:a2 image-schema:none generalisable:yes
I started my current job three years {{c1::ago}}.	past-distance marker anchored on now	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The contract is valid {{c1::until}} the end of the year.	endpoint marker; valid up to that point	module:03 type:cloze sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
I need to submit this {{c1::by}} Friday.	deadline marker; not later than	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
{{c1::Before}} I arrived at the office, my colleagues had already started.	anterior marker; prior event	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a2 image-schema:none generalisable:yes
The exhibition runs {{c1::from}} opening day to closing day.	starting boundary	module:03 type:cloze sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
The exhibition runs from opening day {{c1::to}} closing day.	ending boundary	module:03 type:cloze sense:temporal frequency:mid register:formal cefr:b1 image-schema:none generalisable:yes
The keys are {{c1::in}} my jacket pocket.	Enclosed space within clothing	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The mirror hangs {{c1::on}} the bathroom wall above the sink.	Vertical surface mounting	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
The cat napped {{c1::on}} the warm windowsill.	Flat horizontal support surface	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
We met {{c1::at}} the bus stop on Fifth Avenue.	Specific point location	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Bread and jam are {{c1::in}} the kitchen cupboard.	Interior containment space	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The sign is posted {{c1::at}} the entrance.	Directional marker point	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
Water bottles {{c1::on}} the shelf stay cool longer.	Flat surface placement	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes
My phone is {{c1::in}} the desk drawer with my charger.	Interior closed space	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes
The notice board stands {{c1::at}} the corner of the hallway.	Intersection point marker	module:01 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The barn sits {{c1::beside}} the old farmhouse near the road.	Adjacent positioning without formal ranking	module:02 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes
The rowing boat floated {{c1::beneath}} the arched stone bridge.	Directly under with overhead framing	module:02 type:cloze sense:spatial frequency:mid register:formal cefr:b1 image-schema:under generalisable:yes
His office is {{c1::within}} the executive wing on the top floor.	Interior enclosed space (formal register)	module:02 type:cloze sense:spatial frequency:mid register:formal cefr:b1 image-schema:container generalisable:yes
The hikers walked {{c1::through}} the dense forest toward the valley.	Interior passage through interior space	module:02 type:cloze sense:spatial frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
Spectators gathered {{c1::throughout}} the stadium in every section.	Distributed across all areas	module:02 type:cloze sense:spatial frequency:mid register:formal cefr:b1 image-schema:cluster generalisable:yes
The office opens {{c1::at}} 9 AM on weekdays.	Clock time marker (exact hour)	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
We've known each other {{c1::since}} university days.	Starting point in past (duration anchor)	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The store is closed {{c1::until}} midnight every night.	Endpoint boundary (duration bound)	module:03 type:cloze sense:temporal frequency:high register:neutral cefr:a1 image-schema:none generalisable:yes
The road passes {{c1::under}} the railway bridge at the village edge.	Beneath structural overhead element	module:04 type:cloze sense:movement frequency:mid register:neutral cefr:a1 image-schema:under generalisable:yes
She cycled {{c1::around}} the park three times this morning.	Circular/circumnavigating trajectory	module:04 type:cloze sense:movement frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The river flows {{c1::into}} a larger lake at the valley's end.	Boundary crossing (inward direction)	module:04 type:cloze sense:movement frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
We jumped {{c1::off}} the platform onto the beach below.	Detachment from elevated surface	module:04 type:cloze sense:movement frequency:high register:neutral cefr:a1 image-schema:path generalisable:yes
The cable runs {{c1::overhead}} from the power station across the valley.	Above all ground features	module:04 type:cloze sense:movement frequency:mid register:formal cefr:b1 image-schema:over generalisable:yes
Experts {{c1::begin with}} research questions.	preposition + initial-element	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The performance {{c1::ended in}} ovation.	preposition + final-state	module:05 sense:dependent type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
The project {{c1::started with}} planning.	preposition + initial-action	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The committee {{c1::finished with}} its report.	preposition + concluding-element	module:05 sense:dependent type:cloze frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
The manager {{c1::regarded}} him {{c2::as}} a future leader.	preposition + role-designation	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The situation {{c1::looked like}} a disaster.	preposition + appearance	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
The contract ran {{c1::out of}} time.	preposition + depletion	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
His plan {{c1::serves as}} a backup option.	preposition + functional-role	module:09 sense:idiomatic type:cloze frequency:high register:neutral cefr:b1 image-schema:none generalisable:yes
