#separator:tab
#html:true
#columns:Prompt	Target	Sense	Sample	Why	Tags
Write about the sun, moon, or stars' apparent motion across the sky during different times of day.	up / across / towards / along / above / down / during / as	movement	The sun rises <b>up</b> in the east and moves <b>across</b> the sky <b>towards</b> the west. It travels <b>along</b> an arc <b>above</b> the horizon before descending <b>down</b> into the sunset. Stars appear <b>during</b> the twilight <b>as</b> dusk falls.	up = eastern rise; across = sky traversal; towards = western approach; along = arc trajectory; above = overhead positioning; down = descent arc; out of = twilight emergence; around = dusk timing	module:04 sense:movement type:production frequency:mid register:formal cefr:b1 image-schema:path generalisable:yes
Write about extracting or retrieving something from a location and bringing it somewhere else.	from / through / onto / towards / past / around / into	movement	I extracted the old files <b>from</b> the archive, carried them <b>through</b> the hallway and <b>onto</b> a cart. I pushed the cart <b>towards</b> the shredding room, moving <b>past</b> offices and <b>around</b> corners. Finally, I placed the documents <b>into</b> the destruction bin.	from = archive origin; through = hallway transit; onto = cart placement; towards = room approach; past = office bypass; around = corner navigation; into = bin insertion	module:04 sense:movement type:production frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes
Write a short paragraph about someone you depend on. Use the collocation "depend on" naturally in your answer.	Production: depend on	dependent	I depend on my parents for support and guidance. They help me with important decisions and emotional strength.	depend on (essential relationship)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe what instructions you listen to daily. Write 2-3 sentences using "listen to" appropriately.	Production: listen to	dependent	I listen to my manager's instructions every morning during our team meetings. I also listen to my colleagues' feedback about my work performance.	listen to (receiving communication)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Tell a story about looking at something beautiful. Use "look at" in at least one sentence.	Production: look at	dependent	Yesterday I spent an hour looking at the sunset from my balcony. The colors were spectacular as I looked at the changing sky.	look at (visual focus)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Describe a situation where you had to look for something important. Write 2-3 sentences with "look for".	Production: look for	dependent	Last week I spent hours looking for my passport before my trip. I finally found it while looking for my winter coat in the back of the closet.	look for (searching)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Write about your responsibilities caring for someone. Use "look after" in a complete sentence.	Production: look after	dependent	I look after my younger siblings while my parents are at work. Taking care of them teaches me responsibility and patience.	look after (caregiving)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Explain an opinion you agree with and why. Use "agree with" to describe your alignment.	Production: agree with	dependent	I agree with my friend's perspective on environmental issues. She believes we need stronger climate policies, and I agree with her completely.	agree with (opinion alignment)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe a situation where you accepted formal terms or a proposal. Use "agree to" naturally.	Production: agree to	dependent	The employee agreed to the new contract terms after reviewing all conditions. The company and the worker agreed to a flexible working arrangement.	agree to (proposal acceptance)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a group decision your team made. Use "agree on" to show consensus.	Production: agree on	dependent	The committee agreed on a budget allocation for next year. Everyone agreed on hiring three new team members to handle the increased workload.	agree on (mutual decision)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe what ingredients are in your favorite meal. Use "consist of" to explain composition.	Production: consist of	dependent	My favorite pasta dish consists of fresh tomatoes, basil, garlic, and olive oil. The salad consists of organic vegetables and a light vinaigrette dressing.	consist of (composition)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Explain what belongs to a museum or collection you know about. Use "belong to" in your answer.	Production: belong to	dependent	These paintings belong to the Metropolitan Museum of Art. The artifacts belong to different cultural periods and civilizations.	belong to (ownership)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a situation where you apologised. Use "apologise for" to describe what you regretted.	Production: apologise for	dependent	I apologised for arriving late to the important meeting. She apologised for not completing the assignment on time.	apologise for (regret)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe an achievement someone was congratulated for. Use "congratulate on" in your response.	Production: congratulate on	dependent	Everyone congratulated Maria on passing her final exams. We congratulated the team on winning the championship game.	congratulate on (celebration)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a rule or policy that prevented something. Use "prevent from" in your sentences.	Production: prevent from	dependent	The security system prevented the burglar from entering the building. New regulations prevent companies from dumping waste in rivers.	prevent from (blocking action)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Describe an accusation or blame situation. Use "accuse of" to show the charge.	Production: accuse of	dependent	The attorney accused the defendant of theft. Colleagues accused him of stealing credit for the team's work.	accuse of (wrongdoing charge)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a cause and its effect. Use "result in" to show the consequence.	Production: result in	dependent	Heavy rain resulted in flooding in several neighborhoods. The company's poor planning resulted in significant financial losses.	result in (forward causation)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Describe what caused a problem or outcome. Use "result from" to show the origin.	Production: result from	dependent	The accident resulted from a driver's carelessness. The company's success results from years of hard work and innovation.	result from (backward causation)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Explain how your views differ from someone else's. Use "differ from" in your response.	Production: differ from	dependent	My political opinions differ from my parents' views on several issues. The European approach to healthcare differs from the American system significantly.	differ from (comparison)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a document or speech that mentions something. Use "refer to" naturally.	Production: refer to	dependent	The research paper refers to studies conducted in previous decades. The speaker referred to historical events to support her argument.	refer to (citation/mention)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Describe how you handled a difficult situation. Use "cope with" in your answer.	Production: cope with	dependent	I coped with exam stress by studying in groups and getting enough sleep. She coped with the loss of her job by volunteering and developing new skills.	cope with (managing difficulty)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Write about a conversation you had. Use either "talk to" or "talk with" to describe it.	Production: talk to/with	dependent	I talked with my mentor about career options and professional development. The counselor talks to students about their concerns and academic progress.	talk to / talk with (communication)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Describe travel plans mentioning arrival. Use "arrive at" or "arrive in" appropriately.	Production: arrive at/in	dependent	We will arrive in London next Tuesday afternoon. The train arrives at Grand Central Station at 3 PM.	arrive at / arrive in (destination)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Describe something you remember about a person or place. Use "think of" in your answer.	Production: think of	dependent	Whenever I think of my grandmother, I remember her cooking and stories. I often think of my childhood vacations at the beach with joy.	think of (memory/image)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Write about something you're considering carefully. Use "think about" in your response.	Production: think about	dependent	I'm thinking about changing my major next semester. She's thinking about the consequences of moving to a new country.	think about (deliberation)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:verb
Describe your life goals or ambitions. Use "dream of" to express your aspirations.	Production: dream of	dependent	I dream of becoming a successful writer and traveling the world. She dreams of opening her own business and being her own boss.	dream of (aspiration)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe a vivid dream you had. Use "dream about" to recount it.	Production: dream about	dependent	Last night I dreamed about flying over beautiful landscapes. I often dream about being back in my childhood home.	dream about (nocturnal dream)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Write about news or a message you received. Use "hear from" to describe contact.	Production: hear from	dependent	I haven't heard from my best friend in months. Last week I heard from my cousin who is living abroad.	hear from (receiving message)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Describe gossip or news you learned about indirectly. Use "hear about" in your answer.	Production: hear about	dependent	I heard about the new restaurant opening downtown from my coworker. Have you heard about the changes in the company's management?	hear about (news receipt)	module:05 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb
Write about a warning someone gave you. Use "warn against" to describe the caution.	Production: warn against	dependent	My parents warned me against spending too much money on unnecessary items. The doctor warned her against strenuous exercise during recovery.	warn against (caution)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Describe something you demanded or insisted upon. Use "insist on" in your response.	Production: insist on	dependent	The safety inspector insisted on installing additional fire extinguishers. My manager insists on receiving weekly progress reports from all team members.	insist on (firm demand)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe your professional goals or priorities. Use "focus on" in your answer.	Production: focus on	dependent	Our team will focus on reducing operational costs this quarter. I'm focusing on improving my programming skills this year.	focus on (prioritization)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe an argument or claim and its support. Use "base on" to show the foundation.	Production: base on	dependent	The researcher based her conclusions on extensive data analysis. He based his opinion on personal experience and research.	base on (foundational support)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Write about conditions affecting success or outcomes. Use "depend on" meaningfully.	Production: depend on (conditions)	dependent	The project's success depends on having adequate funding and experienced staff. Your grade depends on consistent effort throughout the semester.	depend on (conditional)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Describe something you couldn't help but do. Use "cannot stop from" in your answer.	Production: stop from	dependent	I cannot stop from laughing at my friend's jokes. She cannot stop from checking her phone constantly.	stop from (inability to prevent)	module:05 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb
Write about objectives or targets you're pursuing. Use "aim at" in your response.	Production: aim at	dependent	The company aims at increasing market share by 20% this year. We aim at completing the project before the deadline.	aim at (goal targeting)	module:05 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb
Describe something you are afraid of and why. Use "afraid of" in your answer.	Production: afraid of	dependent	I am afraid of heights because they make me dizzy. Many people are afraid of spiders even though they are harmless.	afraid of (fear expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no dependent:adjective
Write about something you are interested in and why. Use "interested in" naturally.	Production: interested in	dependent	I am interested in learning foreign languages because they open new opportunities. She has always been interested in art history and museum curation.	interested in (interest expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
Describe something you are proud of and explain why. Use "proud of" in your response.	Production: proud of	dependent	I am proud of my academic accomplishments and perseverance. They are proud of their children's success in various fields.	proud of (pride expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Explain what you feel responsible for and why. Use "responsible for" appropriately.	Production: responsible for	dependent	I am responsible for organizing the team meetings and preparing agendas. The manager is responsible for ensuring all projects are completed on time.	responsible for (responsibility)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about a skill you are good at and how you developed it. Use "good at" in your answer.	Production: good at	dependent	I am good at problem-solving because I practice critical thinking daily. She is good at public speaking after years of practice and training.	good at (skill expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
Describe someone you know who is good with people. Use "good with" in your response.	Production: good with	dependent	My teacher is good with students because she listens and understands them. He is good with children; they feel comfortable and safe around him.	good with (handling ability)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about something that is good for your health or wellbeing. Use "good for" naturally.	Production: good for	dependent	Regular exercise is good for your physical and mental health. Meditation is good for reducing stress and improving focus.	good for (benefit expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective
Describe a situation where you felt worried about something. Use "worried about" in your answer.	Production: worried about	dependent	I was worried about my final exam, so I studied extensively. She is worried about her job security after the company restructuring.	worried about (worry expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about someone you are grateful to and what you appreciate. Use "grateful to" in your response.	Production: grateful to	dependent	I am grateful to my parents for their unwavering support throughout my life. We are grateful to the volunteers who dedicated their time to help.	grateful to (gratitude to person)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Describe something you are grateful for and why. Use "grateful for" appropriately.	Production: grateful for	dependent	I am grateful for the education I received and the opportunities it provided. She is grateful for her good health and supportive relationships.	grateful for (gratitude for thing)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Explain what you are familiar with and how you learned about it. Use "familiar with" naturally.	Production: familiar with	dependent	I am familiar with the new software system because I trained extensively. He is familiar with Chinese culture from living there for five years.	familiar with (knowledge expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about a topic you are particularly concerned about. Use "concerned about" in your answer.	Production: concerned about	dependent	I am concerned about climate change and its impact on future generations. She is concerned about educational inequality in developing countries.	concerned about (concern expression)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Describe someone you know who is patient with others. Use "patient with" in your response.	Production: patient with	dependent	My grandmother is patient with young children and their endless questions. Teachers must be patient with students who learn at different speeds.	patient with (patience expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about a person or group you feel loyal to. Use "loyal to" appropriately.	Production: loyal to	dependent	I am loyal to my friends and support them through difficult times. Employees should be loyal to their organization while it treats them fairly.	loyal to (loyalty expression)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Describe something you feel excited about. Use "excited about" in your answer.	Production: excited about	dependent	I am excited about my upcoming vacation and all the places I will visit. They are excited about the new project because it offers creative challenges.	excited about (excitement expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Explain a situation where you felt jealous of someone or something. Use "jealous of" naturally.	Production: jealous of	dependent	I felt jealous of my friend's promotion because I wanted it too. Some people are jealous of others' success instead of celebrating it.	jealous of (jealousy expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about something you feel tired of or exhausted by. Use "tired of" in your response.	Production: tired of	dependent	I am tired of repetitive tasks and want more challenging work. She is tired of the same excuses and demands genuine change.	tired of (tiredness expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Describe someone you know who is strict with others. Use "strict with" appropriately.	Production: strict with	dependent	My coach is strict with the team to ensure they maintain high standards. Parents are often strict with their children to teach them discipline.	strict with (strictness expression)	module:06 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective
Write about a claim or idea you are skeptical of. Use "skeptical of" in your answer.	Production: skeptical of	dependent	I am skeptical of miracle diet plans because they rarely deliver results. Many scientists are skeptical of claims not supported by evidence.	skeptical of (skepticism expression)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Describe a person or group you feel critical of. Use "critical of" naturally.	Production: critical of	dependent	I am critical of the government's environmental policies because they lack ambition. Media critics are often critical of modern films for lacking originality.	critical of (criticism expression)	module:06 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective
Explain the reason for a recent decision you made. Use "reason for" in your answer.	Production: reason for	dependent	The reason for my decision was practical. I changed jobs for better pay and growth opportunities; that was the main reason for the move.	reason for (cause)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Describe the cause of a problem you're familiar with. Use "cause of" in your response.	Production: cause of	dependent	The cause of the accident was a mechanical failure. Scientists investigate the cause of climate change to develop solutions.	cause of (origin)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Write about an effect of technology on society. Use "effect on" appropriately.	Production: effect on	dependent	The effect on education has been transformative and largely positive. Social media has a significant effect on young people's self-esteem.	effect on (impact)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Describe the influence on a group of people. Use "influence on" naturally.	Production: influence on	dependent	The influence on teenagers from social media is profound and concerning. Parents have significant influence on their children's values and choices.	influence on (persuasion)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Explain an increase in something you've noticed. Use "increase in" in your answer.	Production: increase in	dependent	There has been a noticeable increase in remote work opportunities. The increase in environmental awareness among young people is encouraging.	increase in (growth)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Describe a decrease in something you know about. Use "decrease in" appropriately.	Production: decrease in	dependent	We've seen a decrease in physical activity among children. The decrease in wildlife populations is alarming and requires action.	decrease in (decline)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Write about a rise in prices or costs. Use "rise in" in your response.	Production: rise in	dependent	The rise in housing costs makes it difficult for young people to buy. We're concerned about the rise in unemployment rates.	rise in (increase)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Explain a fall in something important. Use "fall in" naturally.	Production: fall in	dependent	The fall in interest rates encouraged more people to take loans. We celebrate the fall in crime rates in recent years.	fall in (decrease)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Describe a solution to a problem. Use "solution to" in your answer.	Production: solution to	dependent	The solution to traffic congestion is improved public transportation. Finding a solution to climate change requires global cooperation.	solution to (resolution)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Write about the answer to an important question. Use "answer to" appropriately.	Production: answer to	dependent	The answer to success is dedication and hard work. Scientists search for the answer to many mysteries in nature.	answer to (response)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Explain the key to achieving something. Use "key to" in your response.	Production: key to	dependent	The key to happiness is finding purpose and meaningful relationships. Good communication is the key to maintaining healthy relationships.	key to (enablement)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Write about a cure or treatment for a disease. Use "cure for" naturally.	Production: cure for	dependent	Researchers are working toward a cure for Alzheimer's disease. A cure for the common cold has eluded scientists for decades.	cure for (remedy)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Explain what you feel a need for. Use "need for" in your answer.	Production: need for	dependent	There is a critical need for more affordable housing in cities. Society has a pressing need for clean energy solutions.	need for (necessity)	module:07 sense:dependent type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun
Describe the demand for something in the market. Use "demand for" appropriately.	Production: demand for	dependent	The demand for technology skills continues to grow. Global demand for renewable energy is increasing significantly.	demand for (market request)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
Write about an alternative to something common. Use "alternative to" in your response.	Production: alternative to	dependent	Plant-based products offer a healthy alternative to animal products. Remote work provides an alternative to the traditional office setting.	alternative to (substitute)	module:07 sense:dependent type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun
You are explaining why a concert was cancelled. Use a preposition to introduce the cause. Answer: The concert was cancelled <b>because of</b> the severe weather / unforeseen circumstances.	because of / due to (causal)	phrasal	Accepts: because of, due to, on account of (formal register acceptable)	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You want to express gratitude while explaining success. Write a sentence using a multi-word preposition. Answer: We achieved this goal <b>thanks to</b> your generous support / the team's hard work.	thanks to (causal-gratitude)	phrasal	Accepts: thanks to, and must show gratitude in context	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:partial
You are listing exceptions or items to exclude. Write a sentence with 'except', 'apart from', or 'aside from'. Answer: <b>Except for</b> the final chapter, the novel was well-received. / <b>Apart from</b> a few typos, the manuscript is ready.	except for / apart from (exception)	phrasal	Accepts: except for (strict); apart from, aside from (flexible); must show exception in context	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are expressing a strong contrast despite an obstacle. Use 'despite' or 'in spite of' and construct a sentence. Answer: <b>Despite</b> the high costs, the project proceeded. / <b>In spite of</b> initial resistance, the proposal was approved.	despite / in spite of (concessive)	phrasal	Accepts: despite, in spite of; must show clear concessive contrast	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are advocating for one option over another. Express preference using 'rather than'. Answer: I would choose to <b>rather than</b> walk the scenic route <b>rather than</b> take the highway.	rather than (preference)	phrasal	Accepts: rather than in correct position; 'prefer...rather than' structure acceptable	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are selecting one item as a substitute. Write a sentence with 'instead of'. Answer: For breakfast, I'll have oatmeal <b>instead of</b> cereal.	instead of (substitution)	phrasal	Accepts: instead of; substitution must be clear and plausible	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are stating the reference standard for a procedure. Use 'according to' or 'in line with'. Answer: The design was completed <b>according to</b> the client's specifications. / The proposal aligns <b>in line with</b> company policy.	according to / in line with (standard-reference)	phrasal	Accepts: according to (standards/authority); in line with (harmony/alignment)	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are formally adding information to what was already mentioned. Write a sentence with 'in addition to'. Answer: <b>In addition to</b> the salary, the package includes health insurance.	in addition to (additive-formal)	phrasal	Accepts: in addition to; supplementary item must be clear	none	module:08 sense:phrasal type:production frequency:high register:formal cefr:b1 image-schema:none generalisable:partial
You are representing a group or speaking on their behalf. Write a sentence with 'on behalf of'. Answer: The director spoke <b>on behalf of</b> the entire organization.	on behalf of (representation)	phrasal	Accepts: on behalf of; representation must be explicit	none	module:08 sense:phrasal type:production frequency:mid register:formal cefr:b1 image-schema:none generalisable:partial
You are reconsidering a decision in light of new information. Construct a sentence. Answer: <b>In light of</b> the latest research, we are revising our strategy.	in light of (evaluative-causal)	phrasal	Accepts: in light of; context must show reconsideration or evaluation	none	module:08 sense:phrasal type:production frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
You are explaining how something was accomplished through a method or instrument. Use 'by means of'. Answer: The message was transmitted <b>by means of</b> a secure encrypted channel.	by means of (instrumental)	phrasal	Accepts: by means of; instrument/method must be specific	none	module:08 sense:phrasal type:production frequency:mid register:formal cefr:b2 image-schema:none generalisable:partial
You are noting a topic of discussion or concern in formal writing. Write a sentence with 'with regard to' or 'regarding'. Answer: <b>With regard to</b> the budget allocation, we need clarification.	with regard to / regarding (topic-marking)	phrasal	Accepts: regarding (neutral); about (informal); concerning (formal)	none	module:08 sense:phrasal type:production frequency:high register:formal cefr:b2 image-schema:none generalisable:partial
You are describing a spatial relationship. Write a sentence with 'in front of' to place one object relative to another. Answer: The fountain stands <b>in front of</b> the entrance.	in front of (spatial)	phrasal	Accepts: in front of; spatial relationship must be unambiguous	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:partial
You are giving instructions for an emergency situation. Write a sentence with 'in case of'. Answer: <b>In case of</b> fire, evacuate immediately using the nearest exit.	in case of (conditional-precaution)	phrasal	Accepts: in case of; emergency/contingency context required	none	module:08 sense:phrasal type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:partial
You are positioning troops or units in a temporal or spatial sequence. Write a sentence with 'ahead of'. Answer: The scout unit was positioned <b>ahead of</b> the main battalion.	ahead of (spatial-temporal)	phrasal	Accepts: ahead of in spatial or temporal context	none	module:08 sense:phrasal type:production frequency:mid register:neutral cefr:b1 image-schema:none generalisable:partial
You witness someone breaking something without meaning to. Describe what happened using 'by accident'. Answer: He broke the vase <b>by accident</b> when he turned too quickly.	by accident (unintentional)	idiomatic	Accepts: by accident in context of unintentional action	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You want to explain that you deliberately did something wrong. Construct a sentence. Answer: I did it <b>on purpose</b> because I wanted to test his reaction.	on purpose (intentional)	idiomatic	Accepts: on purpose; context must clearly show intention	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're explaining that you made an error in understanding. Write a sentence using 'by mistake'. Answer: I registered for the wrong course <b>by mistake</b>.	by mistake (cognitive error)	idiomatic	Accepts: by mistake; context must show error in judgment or understanding	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're describing how someone traveled to a location. Use 'on foot'. Answer: She came to the meeting <b>on foot</b> because her car was in the garage.	on foot (walking mode)	idiomatic	Accepts: on foot; context must make clear person walked	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
You're explaining a journey using a vehicle mode. Use 'by car', 'by bus', 'by train', or 'by plane'. Answer: We traveled across the country <b>by train</b> to save money.	by car / by bus / by train / by plane (vehicle mode)	idiomatic	Accepts: by car, by bus, by train, by plane; student chooses mode appropriate to context	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
You're describing being inside a small vehicle waiting. Construct a sentence. Answer: We sat <b>in a car</b> for over an hour waiting for the event to start.	in a car (small vehicle location)	idiomatic	Accepts: in a car; context must clearly show location inside	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
You're describing being on/in a large vehicle. Construct a sentence. Answer: We sat <b>on a bus</b> watching the city pass by.	on a bus (large vehicle location)	idiomatic	Accepts: on a bus; context must clearly show location on/in bus	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a1 image-schema:none generalisable:no
You're explaining where a TV show airs. Construct a sentence. Answer: The documentary series is <b>on TV</b> every Wednesday evening.	on TV (television medium)	idiomatic	Accepts: on TV; context must show television broadcast	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're discussing where you heard news or an interview. Use 'on the radio' or 'in the news'. Answer: I heard about the accident {{c1::in the news}} this morning.	on the radio / in the news (media)	idiomatic	Accepts: on the radio, in the news; context must clearly identify as news/radio	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're describing an emotional state. Write a sentence using 'in love'. Answer: She's been <b>in love</b> with him since they first met.	in love (emotional state)	idiomatic	Accepts: in love; must be in romantic context	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're describing a problematic situation someone is in. Use 'in trouble'. Answer: The company is <b>in trouble</b> after the recent scandal.	in trouble (problematic state)	idiomatic	Accepts: in trouble; context must show clear difficulty or danger	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:a2 image-schema:none generalisable:no
You're describing a state of physical or social pressure. Write a sentence using 'under pressure'. Answer: The athlete felt <b>under pressure</b> during the final competition.	under pressure (stressed state)	idiomatic	Accepts: under pressure; context must show stress or time constraint	none	module:09 sense:idiomatic type:production frequency:high register:neutral cefr:b1 image-schema:none generalisable:no
