#separator:tab
#html:true
#columns:Sentence	OptionA	OptionB	Answer	Why	Tip	Tags
The roots grow ___ the soil.	under	below	under	under emphasizes being covered and enclosed by soil; below would suggest mere distance underneath.	under = covered by; below = below	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:under generalisable:yes contrast:below-vs-under
The treasure lies ___ three cities.	between	among	between	between applies to two distinct, countable entities; among applies to three or more undifferentiated items in a group.	between = 2 things; among = 3+ things	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:between generalisable:yes contrast:between-vs-among
The house sits ___ the tall buildings.	among	between	among	among implies the house is one element within a larger undifferentiated group; between would incorrectly suggest only two buildings.	among = within group; between = 2 only	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:between generalisable:yes contrast:between-vs-among
The garden gate stands ___ the two estates.	between	among	between	between specifically relates two distinct, named entities; among would blur this dual relationship.	between = 2 distinct things	module:02 type:contrast sense:spatial frequency:mid register:formal cefr:b1 image-schema:between generalisable:yes contrast:between-vs-among
The car is parked ___ the building.	behind	at the back of	behind	BETWEEN schema with reference axis: 'behind' = on the side opposite the viewer; 'at the back of' is interchangeable but slightly more verbose. Both work for buildings, but never for thoroughfares like streets/roads (which have no front/back face).	behind = relative position; at the back of = rear side	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a2 image-schema:point generalisable:partial contrast:behind-vs-at-the-back-of
The store is ___ the shopping mall.	at the back of	behind	at the back of	at the back of indicates the rear side/section of a building; behind is more general relative positioning.	at the back of = rear section	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:b1 image-schema:point generalisable:partial contrast:behind-vs-at-the-back-of
The statue stands ___ the cathedral.	in front of	before	in front of	in front of is spatial positioning facing forward; before is primarily temporal (or archaic for spatial sequence).	in front of = facing forward; before = temporal	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes contrast:in-front-of-vs-before
The defendant appeared ___ the judge.	before	in front of	before	before indicates the formal hierarchical/temporal context (appearing for judgment); in front of would emphasize only physical positioning.	before = hierarchical presence; in front of = physical only	module:02 type:contrast sense:spatial frequency:mid register:formal cefr:b2 image-schema:point generalisable:partial contrast:in-front-of-vs-before
She sat ___ the fire.	in front of	before	in front of	in front of specifies facing toward the fireplace; before is temporal or hierarchical, not spatial comfort positioning.	in front of = facing toward	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a2 image-schema:point generalisable:yes contrast:in-front-of-vs-before
The small shop is ___ the bakery.	next to	near	next to	next to implies adjacent contact or immediate proximity; near suggests general vicinity without tactile closeness.	next to = touching nearby; near = general area	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes contrast:next-to-vs-near
The café is ___ the train station.	near	next to	near	near indicates proximity without specific adjacency; next to would imply closer, almost touching placement.	near = in vicinity; next to = adjacent	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes contrast:next-to-vs-near
He stood ___ me in line.	beside	next to	beside	BETWEEN-axis adjacency. 'Next to' and 'beside' are largely synonymous in modern English; 'next to' is slightly more common in AmE conversational use; 'beside' often carries a faint nuance of companionship in literary register. Either is acceptable here.	next to / beside ≈ synonyms; next-to slightly more common	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:b1 image-schema:point generalisable:partial contrast:next-to-vs-beside
The trophy sits ___ the other awards.	on top of	above	on top of	on top of implies physical resting on a surface; above indicates only vertical separation without contact.	on top of = resting on; above = height only	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:b1 image-schema:support generalisable:yes contrast:on-top-of-vs-above
The snow piled ___ the roof.	on top of	above	on top of	on top of shows the snow physically rests on the roof surface; above would mean snow exists in space above it.	on top of = resting on surface	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:a2 image-schema:support generalisable:yes contrast:on-top-of-vs-above
The books are ___ the box.	inside	in	inside	inside emphasizes enclosure and the interior boundary; in is the neutral default for location within a container.	inside = emphasizes enclosure	module:02 type:contrast sense:spatial frequency:mid register:neutral cefr:a2 image-schema:container generalisable:partial contrast:inside-vs-in
The water is ___ the tank.	in	inside	in	in is the standard locative; inside would over-emphasize the enclosure aspect unnecessarily.	in = standard location	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a1 image-schema:container generalisable:yes contrast:inside-vs-in
The ball rolled ___ the house.	outside	out of	outside	outside indicates external location; out of describes motion exiting from an interior space.	outside = location outside; out of = exiting	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:container generalisable:yes contrast:outside-vs-out-of
The children played ___ while it rained.	outside	out of	outside	outside = location external; out of would incorrectly imply the children were previously inside and exiting.	outside = external location	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:a2 image-schema:container generalisable:yes contrast:outside-vs-out-of
The river flows ___ the valley.	through	across	through	through implies interior passage (the river penetrates the valley's interior); across suggests surface traversal.	through = interior passage	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes contrast:through-vs-across
The bridge stretches ___ the gorge.	across	through	across	across indicates surface-level crossing from side to side; through would incorrectly suggest interior penetration.	across = side to side; through = interior	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes contrast:through-vs-across
We walked ___ the forest.	around	through	around	around implies circumnavigation/avoiding the interior; through means passing via interior penetration.	around = circumnavigate; through = penetrate	module:02 type:contrast sense:spatial frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes contrast:around-vs-through
The cat jumped ___ the fence.	onto	to	onto	onto emphasizes landing on the fence's surface; to indicates destination without specifying surface contact.	onto = landing on surface	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:support generalisable:yes contrast:to-vs-onto
She walked ___ the store.	to	onto	to	to indicates the destination (arriving at the store); onto is inappropriate without a surface landing motion.	to = destination only	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a1 image-schema:point generalisable:yes contrast:to-vs-onto
The water poured ___ the bowl.	into	to	into	into emphasizes entering an interior container; to would not capture the enclosure aspect.	into = entering interior	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:container generalisable:yes contrast:to-vs-into
He drove ___ the parking lot.	to	into	to	to indicates the destination; into would imply entering an enclosed space (parking garage), not a lot.	to = destination; into = entering enclosed	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a2 image-schema:container generalisable:yes contrast:to-vs-into
The key disappeared ___ the drawer.	into	to	into	into captures the motion of passing through the opening into the enclosed drawer; to would lose the interior sense.	into = into interior space	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:container generalisable:yes contrast:to-vs-into
The lamp fell ___ the table.	onto	on	onto	onto emphasizes the motion of landing; on describes static placement after arrival.	onto = motion landing; on = static	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a2 image-schema:support generalisable:yes contrast:on-vs-onto
The book sits ___ the shelf.	on	onto	on	on indicates static position; onto describes the motion of arriving on the surface.	on = static location	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a1 image-schema:support generalisable:yes contrast:on-vs-onto
The spider crawled ___ the desk.	onto	on	onto	onto captures the motion of mounting the surface; on indicates already-positioned location.	onto = motion mounting	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:support generalisable:yes contrast:on-vs-onto
The lid came ___ the pot.	off	from	off	off describes removal from a surface; from indicates general origin without motion emphasis.	off = removal from surface	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:support generalisable:yes contrast:off-vs-from
She peeled the sticker ___ the wall.	off	from	off	off emphasizes the detachment action from the surface; from would be vague about the directional force.	off = peeling/detaching	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:support generalisable:yes contrast:off-vs-from
The water drained ___ the tank.	out of	from	out of	out of emphasizes exiting the interior enclosure; from indicates origin generally without the interior-exit sense.	out of = exiting interior	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:container generalisable:yes contrast:out-of-vs-from
The smoke came ___ the chimney.	from	out of	from	from indicates origin point; out of would over-emphasize the exiting-an-interior sense unnecessarily.	from = origin point	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:container generalisable:yes contrast:out-of-vs-from
The rocket shot ___ the sky.	up	onto	up	up indicates vertical ascent motion; onto would be inappropriate without a surface arrival component.	up = vertical motion	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes contrast:up-vs-onto
The rain poured ___ the ground.	down	off	down	down indicates vertical descent; off would imply removal from a surface, not precipitation.	down = vertical descent	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes contrast:down-vs-off
The ball rolled ___ the hill.	down	off	down	down emphasizes the vertical descent along a slope; off would suggest removal from a surface only.	down = descent; off = removal	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes contrast:down-vs-off
The tunnel goes ___ the mountain.	through	across	through	through emphasizes interior passage; across would suggest surface-level crossing.	through = interior passage	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes contrast:through-vs-across
The convoy traveled ___ the checkpoint.	past	by	past	past indicates motion alongside in transit; by suggests proximity/location beside without motion emphasis.	past = motion alongside	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes contrast:past-vs-by
She walked ___ the park each morning.	by	past	by	by indicates proximity/location beside as a reference point; past emphasizes motion alongside in transit.	by = beside; past = motion alongside	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:partial contrast:past-vs-by
The arrow flew ___ the target.	toward	at	toward	toward indicates direction/orientation without guaranteed arrival; at implies the arrow reached/hit the target.	toward = direction only; at = arrival	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:path generalisable:yes contrast:toward-vs-at
He ran ___ home when he heard the news.	away from	out of	away from	away from emphasizes departing in the opposite direction; out of would imply exiting an interior.	away from = departing opposite direction	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes contrast:away-from-vs-out-of
The stream flows ___ the rocks.	around	through	around	around implies circumnavigation/avoidance of the rocks; through would mean flowing via interior penetration.	around = circumnavigate; through = penetrate	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes contrast:around-vs-through
The child ran ___ the playground.	around	through	around	around emphasizes circular/circumnavigating motion; through would suggest cutting across the interior.	around = circular motion	module:04 type:contrast sense:movement frequency:high register:neutral cefr:a2 image-schema:path generalisable:yes contrast:around-vs-through
She moved ___ the city to find work.	to	into	to	to indicates the destination; into would incorrectly emphasize entering an enclosed space.	to = destination	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:point generalisable:yes contrast:to-vs-into
The ball bounced ___ the wall.	off	from	off	off emphasizes the impact and departure from the surface; from would be vague about directional force.	off = bouncing away from	module:04 type:contrast sense:movement frequency:high register:neutral cefr:b1 image-schema:support generalisable:yes contrast:off-vs-from
The boat sailed ___ the shore.	away from	from	away from	away from emphasizes motion in the opposite direction; from indicates origin/starting point.	away from = opposite direction	module:04 type:contrast sense:movement frequency:mid register:neutral cefr:b1 image-schema:path generalisable:yes contrast:away-from-vs-from
My success depends ___ hard work.	on	of	on	'Depend on' is the fixed English collocation; *depend of* is a Spanish (depender de) and Russian (зависеть от) transfer error.	depend ON, never depend OF	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:depend-on-vs-of
The team consists ___ five experts.	of	from	of	'Consist of' is the correct fixed collocation; *consist from* is a Russian (состоять из) transfer error.	consist OF always	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:consist-of-vs-from
What do you think ___ the proposal?	about	on	about	'Think about' focuses on the object/topic; *think on* is a Spanish (pensar en) transfer error.	think ABOUT something	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:think-about-vs-on
Please listen ___ what I say.	to	Ø	to	'Listen to' requires the preposition; *listen* without 'to' is a French (écouter) transfer, common in Romance languages.	listen TO, don't drop it	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb contrast:listen-to-vs-null
She looked ___ the painting carefully.	at	Ø	at	'Look at' needs 'at'; omitting it is a French (regarder) transfer where the verb alone suffices.	look AT something always	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb contrast:look-at-vs-null
I'm looking ___ my lost keys.	for	at	for	'Look for' means to search; 'look at' means to observe. Different verbs, different meanings.	look FOR = search; look AT = observe	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb contrast:look-for-vs-at
We waited ___ the bus for hours.	for	Ø	for	'Wait for' requires 'for'; omitting it is a French (attendre) transfer where the verb alone works.	wait FOR something	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:verb contrast:wait-for-vs-null
Did you pay ___ the ticket?	for	to	for	'Pay for' = goods/services; 'pay to' = a recipient. Here, the ticket is a good, so 'for' is correct.	pay FOR goods/services	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:pay-for-vs-to
The company arrived ___ the city yesterday.	in	at	in	'Arrive in' for large places/countries; 'arrive at' for small places. A city is large enough for 'in'.	arrive IN large places	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:arrive-in-vs-at
The bus arrived ___ the station.	at	in	at	'Arrive at' is used for stations and small/specific locations; 'arrive in' is for large cities or countries.	arrive AT stations/stops	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:arrive-at-vs-in
He agrees ___ his parents about everything.	with	to	with	'Agree with' a person; 'agree to' a proposal. Here, we're agreeing with people.	agree WITH people	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:agree-with-vs-to
The committee agreed ___ the new budget plan.	to	with	to	'Agree to' a proposal/plan; 'agree with' a person. Here we're agreeing to a proposal.	agree TO proposals/plans	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:agree-to-vs-with
We talked ___ the manager about the issue.	to	with	to	'Talk to' is the high-frequency default in both BrE and AmE. 'Talk with' is fully acceptable and is sometimes felt to imply more mutual exchange (vs 'talk to' being slightly more directional), but the distinction is weak in contemporary use — both are usually interchangeable.	talk to = default; talk with = also fine, slightly more mutual	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:talk-to-vs-with
Can you write ___ me when you arrive?	to	Ø	to	'Write to' is British standard; American English uses 'write me'. BrE requires 'to'.	write TO someone (BrE)	module:05 type:contrast sense:dependent frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:write-to-vs-null
These books belong ___ the library.	to	with	to	'Belong to' indicates ownership/possession; 'belong with' means grouping/matching.	belong TO = ownership	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:belong-to-vs-with
I don't approve ___ his behavior.	of	with	of	'Approve of' is the fixed collocation; *approve with* is a Russian (одобрять) transfer error.	approve OF always	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:approve-of-vs-with
The accident resulted ___ serious injuries.	in	from	in	'Result in' = cause→effect (what happens); 'result from' = effect→cause (what caused it).	result IN = outcome	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:result-in-vs-from
Injuries resulted ___ the accident.	from	in	from	'Result from' indicates the cause; 'result in' indicates the effect. Here the accident is the cause.	result FROM = cause	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:result-from-vs-in
Can I borrow ___ you some money?	from	to	from	'Borrow from' someone; 'lend to' someone. You borrow FROM the lender.	borrow FROM someone	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:borrow-from-vs-to
I complained ___ the manager yesterday.	to	about	to	'Complain to' = the recipient; 'complain about' = the topic. Here the manager is the recipient.	complain TO someone	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:complain-to-vs-about
She complained ___ the poor service.	about	to	about	'Complain about' = the topic/issue; 'complain to' = the recipient. Here service is the topic.	complain ABOUT something	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:complain-about-vs-to
I'm applying ___ that job next week.	for	to	for	'Apply for' a job/position; 'apply to' a university/institution. Here it's a job.	apply FOR jobs	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:apply-for-vs-to
He applied ___ three universities last year.	to	for	to	'Apply to' a university/institution; 'apply for' a job/position/grant. Here it's universities.	apply TO institutions	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:apply-to-vs-for
Don't worry ___ the exam.	about	for	about	'Worry about' is the fixed collocation; *worry for* is a Spanish (preocuparse por) transfer error.	worry ABOUT always	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:worry-about-vs-for
She succeeded ___ her goals.	in	at	in	'Succeed in' is standard; 'succeed at' is less common. 'In' is the fixed collocation.	succeed IN something	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:succeed-in-vs-at
We must focus ___ the main objective.	on	in	on	'Focus on' is the fixed collocation; *focus in* is a Spanish (enfocarse en) transfer error.	focus ON always	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:focus-on-vs-in
I believe ___ hard work and integrity.	in	Ø	in	'Believe in' = have faith/confidence; 'believe' alone = accept as true. 'In' adds the meaning of faith.	believe IN = have faith	module:05 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:verb contrast:believe-in-vs-null
The police charged him ___ murder.	with	for	with	'Charge with' = accuse; 'charge for' = bill. Here it's an accusation.	charge WITH = accuse	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:charge-with-vs-for
When compared ___ his brother, he's tall.	to	with	to	'Compare to' = liken; 'compare with' = analyze similarities/differences. Likening is more common.	compare TO = liken	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:compare-to-vs-with
The patient died ___ pneumonia.	of	from	of	'Die of' is standard for disease; *die from* is less common but acceptable. 'Of' is the classic form.	die OF disease	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:die-of-vs-from
She congratulated him ___ his promotion.	on	for	on	'Congratulate on' is the fixed collocation; *congratulate for* is a Spanish (felicitar por) transfer error.	congratulate ON always	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:congratulate-on-vs-for
Please explain ___ me how this works.	to	Ø	to	'Explain to' someone is required; *explain me* is a Spanish (explicarme) transfer error common in Romance languages.	explain TO someone	module:05 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:verb contrast:explain-to-vs-null
I'm afraid ___ spiders.	of	from	of	'Afraid of' is the fixed collocation; *afraid from* is a Russian (боящийся) transfer error.	afraid OF always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:a2 image-schema:none generalisable:no dependent:adjective contrast:afraid-of-vs-from
She's interested ___ modern art.	in	by	in	'Interested in' is standard; *interested by* is a French (intéressé par) transfer error.	interested IN always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:interested-in-vs-by
They got married ___ each other last year.	to	with	to	'Married to' is the fixed collocation; *married with* is a Spanish (casado con) transfer error.	married TO always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:married-to-vs-with
He's good ___ solving puzzles.	at	with	at	'Good at' = skilled in; 'good with' = gets along with (people/animals). Skills use 'at'.	good AT = skilled	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:good-at-vs-with
She's good ___ children and dogs.	with	at	with	'Good with' = handles/relates well to people/animals; 'good at' = skilled. People/animals use 'with'.	good WITH = relates well	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:good-with-vs-at
This is completely different ___ that one.	from	to	from	'Different from' is the universal safe choice in both BrE and AmE. 'Different to' is fully standard in modern BrE (not informal). 'Different than' is acceptable in AmE conversational use, particularly before a clause; avoid in formal writing on either side of the Atlantic.	different FROM (universal); different TO standard in BrE	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:different-from-vs-to
She's responsible ___ the budget.	for	of	for	'Responsible for' is the fixed collocation; *responsible of* is a Spanish (responsable de) transfer error.	responsible FOR always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:responsible-for-vs-of
I'm proud ___ my achievement.	of	with	of	'Proud of' is the fixed collocation; *proud with* is a Russian (гордый) transfer error.	proud OF always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:proud-of-vs-with
He was jealous ___ her success.	of	from	of	'Jealous of' is the fixed collocation; *jealous from* is a Russian (ревнивый) transfer error.	jealous OF always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:jealous-of-vs-from
Are you aware ___ the deadline?	of	about	of	'Aware of' is the fixed collocation; *aware about* is a Russian (осознаю) transfer error.	aware OF always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:aware-of-vs-about
I'm ashamed ___ my mistake.	of	for	of	'Ashamed of' is the fixed collocation; *ashamed for* is a German (schämen sich für) transfer error.	ashamed OF always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:ashamed-of-vs-for
She's tired ___ waiting for him.	of	from	of	'Tired of' = bored/fed up with; 'tired from' = exhausted by. Fed up requires 'of'.	tired OF = fed up	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:tired-of-vs-from
He's famous ___ his novels.	for	as	for	'Famous for' = known because of something; 'famous as' = known in a role. 'For' is more common.	famous FOR something	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:famous-for-vs-as
She was kind ___ the elderly.	to	with	to	'Kind to' = shows kindness toward; 'kind with' is less standard. 'To' is the correct form.	kind TO people	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:kind-to-vs-with
I'm angry ___ him for lying.	with	at	with	When the target of anger is a PERSON, both 'with' and 'at' are accepted in BrE and AmE; 'with' is the older standard form, 'at' is increasingly common particularly in AmE. Either is correct here; we mark 'with' as the safer formal-register choice.	angry WITH people; both BrE/AmE accept either	module:06 type:contrast sense:dependent frequency:mid register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:angry-with-vs-at
She's worried ___ the results.	about	for	about	'Worried about' is the fixed collocation; *worried for* is a Spanish (preocupado por) transfer error.	worried ABOUT always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:worried-about-vs-for
I'm excited ___ the vacation.	about	for	about	'Excited about' is the fixed collocation; *excited for* is a Spanish/French transfer error.	excited ABOUT always	module:06 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:excited-about-vs-for
Are you keen ___ the idea?	on	about	on	'Keen on' is the fixed collocation; *keen about* is a French (enthousiaste à propos de) transfer error.	keen ON always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:keen-on-vs-about
He's capable ___ solving this problem.	of	to	of	'Capable of' is the fixed collocation; *capable to* is a Spanish (capaz de) transfer error.	capable OF always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:capable-of-vs-to
He was guilty ___ theft.	of	for	of	'Guilty of' is the fixed collocation; *guilty for* is a Russian (виновный) transfer error.	guilty OF always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:guilty-of-vs-for
This design is similar ___ the original.	to	with	to	'Similar to' is the fixed collocation; *similar with* is a Russian (похожий) transfer error.	similar TO always	module:06 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:adjective contrast:similar-to-vs-with
The reason ___ his absence is unclear.	for	of	for	'Reason for' is the fixed collocation; *reason of* is a Spanish (razón de) transfer error.	reason FOR always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:reason-for-vs-of
The cause ___ the fire is unknown.	of	for	of	'Cause of' is the fixed collocation; *cause for* is a Russian (причина) transfer error.	cause OF always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:cause-of-vs-for
We found a solution ___ the problem.	to	for	to	'Solution to' is the fixed collocation; *solution for* is a multiple-language transfer error.	solution TO always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:solution-to-vs-for
What's the answer ___ question 5?	to	of	to	'Answer to' is the fixed collocation; *answer of* is a Russian (ответ) transfer error.	answer TO always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:answer-to-vs-of
The key ___ success is persistence.	to	of	to	'Key to' is the fixed collocation; *key of* is a Russian (ключ) transfer error.	key TO always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:key-to-vs-of
There's high demand ___ skilled workers.	for	of	for	'Demand for' is the fixed collocation; *demand of* is a German (Nachfrage) transfer error.	demand FOR always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:demand-for-vs-of
There's a need ___ more funding.	for	of	for	'Need for' is the fixed collocation; *need of* is less common in modern English.	need FOR always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:need-for-vs-of
His influence ___ the team is strong.	on	over	on	'Influence on' indicates an effect; 'influence over' indicates control. 'On' means affecting/shaping.	influence ON = effect	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:influence-on-vs-over
The effect ___ the economy is negative.	on	in	on	'Effect on' is the fixed collocation; *effect in* is a Spanish (efecto) transfer error.	effect ON always	module:07 type:contrast sense:dependent frequency:high register:formal cefr:b1 image-schema:none generalisable:no dependent:noun contrast:effect-on-vs-in
What's the difference ___ these two?	between	of	between	'Difference between' (two things); 'difference of' (degree/quantity). Between two items requires 'between'.	difference BETWEEN two things	module:07 type:contrast sense:dependent frequency:high register:neutral cefr:b1 image-schema:none generalisable:no dependent:noun contrast:difference-between-vs-of
